date,GBPCZK,isPartial
2013-01-06,45,False
2013-01-13,33,False
2013-01-20,34,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,33,False
2013-02-24,0,False
2013-03-03,33,False
2013-03-10,0,False
2013-03-17,43,False
2013-03-24,33,False
2013-03-31,33,False
2013-04-07,42,False
2013-04-14,33,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,33,False
2013-06-30,45,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,43,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,0,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,31,False
2013-10-13,0,False
2013-10-20,30,False
2013-10-27,0,False
2013-11-03,0,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,34,False
2013-12-01,29,False
2013-12-08,30,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,29,False
2014-01-19,0,False
2014-01-26,32,False
2014-02-02,0,False
2014-02-09,36,False
2014-02-16,0,False
2014-02-23,37,False
2014-03-02,0,False
2014-03-09,37,False
2014-03-16,0,False
2014-03-23,32,False
2014-03-30,0,False
2014-04-06,38,False
2014-04-13,39,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,42,False
2014-06-08,31,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,32,False
2014-07-06,0,False
2014-07-13,43,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,41,False
2014-08-31,30,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,39,False
2014-09-28,40,False
2014-10-05,30,False
2014-10-12,50,False
2014-10-19,0,False
2014-10-26,0,False
2014-11-02,0,False
2014-11-09,29,False
2014-11-16,0,False
2014-11-23,37,False
2014-11-30,32,False
2014-12-07,0,False
2014-12-14,0,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,31,False
2015-01-11,27,False
2015-01-18,27,False
2015-01-25,0,False
2015-02-01,40,False
2015-02-08,0,False
2015-02-15,31,False
2015-02-22,27,False
2015-03-01,27,False
2015-03-08,30,False
2015-03-15,0,False
2015-03-22,33,False
2015-03-29,0,False
2015-04-05,37,False
2015-04-12,27,False
2015-04-19,0,False
2015-04-26,27,False
2015-05-03,0,False
2015-05-10,27,False
2015-05-17,0,False
2015-05-24,0,False
2015-05-31,0,False
2015-06-07,54,False
2015-06-14,27,False
2015-06-21,46,False
