date,bitcoin,Bitcoin,Ethereum,Bitcoin Cash,Litecoin,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred,Vertcoin,Komodo,Einsteinium,Dogecoin,Siacoin,PIVX,Factom,Syscoin,RaiBlocks,Cryptonex,BitcoinDark,Byteball Bytes,ZCoin,VeChain,Pura,DigiByte,GameCredits,Verge,NAV Coin,Nexus,Blocknet,Skycoin,Metaverse ETP,BitBay,GXShares,Achain,Peercoin,MinexCoin,Groestlcoin,ZenCash,Particl,Feathercoin,Ubiq,Lykke,PotCoin,Counterparty,Asch,Viacoin,FairCoin,FedoraCoin,Aeon,Rise,Voxels,ION,Emercoin,DECENT,KuCoin Shares,Neblio,ReddCoin,CloakCoin,SIBCoin,Namecoin,SmartCash,Diamond,XTRABYTES,Global Curren.,Elastic,Russian Miner.,WhiteCoin,I/O Coin,Crown,LBRY Credits,OKCash,Gulden,MonetaryUnit,Bitcore,SaluS,Bitzeny,BlackCoin,NoLimitCoin,Shift,GridCoin,BitSend,Burst,TransferCoin,Omni,Golos,Steem Dollars,VeriCoin,HempCoin,LEOcoin,Boolberry,Memetic / Pep.,Rubycoin,DigitalNote,Gambit,BridgeCoin,Clams,The ChampCoin,SolarCoin,ATBCoin,Sphere,Radium,Unobtanium,NeosCoin,Peerplays,Pascal Coin,Expanse,Energycoin,E-Dinar Coin,FlorinCoin,Masternodecoin,Vcash,Tao,Bitdeal,LoMoCoin,DeepOnion,XP,HEAT,Auroracoin,Oxycoin,ToaCoin,Curecoin,Novacoin,Sequence,Musicoin,BitBean,E-coin,Internet of P.,Mooncoin,CasinoCoin,Obsidian,PinkCoin,PoSW Coin,Bitmark,Stealthcoin,DubaiCoin,Pesetacoin,Dynamic,NewYorkCoin,Bitcoin Plus,Syndicate,Kore,BlueCoin,Sexcoin,ECC,XCurrency,PRIZM,Bitcloud,Onix,Dimecoin,Myriad,EarthCoin,ArtByte,DopeCoin,Riecoin,Bismuth,Spectrecoin,Phore,HTMLCOIN,Neutron,ExclusiveCoin,Karbowanec,EverGreenCoin,TrustPlus,Universal Cur.,Synergy,TheGCCcoin,TrezarCoin,Bitswift,Primecoin,EuropeCoin,Breakout Stake,GoByte,ChainCoin,PutinCoin,GoldCoin,Pirl,Terracoin,Bela,CannabisCoin,2GIVE,vTorrent,AsiaCoin,Mintcoin,Rupee,Breakout,Creativecoin,ParkByte,SuperCoin,Centurion,GeoCoin,Atmos,Innova,Blitzcash,MarteXcoin,LUXCoin,e-Gulden
2017-02-26,6,6,1,0,0,0,1,9,3,0,0,0,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,4,0,1,0,0,0,0,0,0,0,17,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,14,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0
2017-03-05,7,7,1,0,0,0,1,9,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,4,0,1,0,0,0,0,0,0,0,17,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,14,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0
2017-03-12,6,6,1,0,0,0,1,8,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,18,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,2,0,0,0,1,0,1,2,0,0,0,0
2017-03-19,6,6,1,0,0,0,1,8,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,17,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,2,0,0,0,1,0,1,1,0,0,0,0
2017-03-26,5,5,1,0,0,0,1,8,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,17,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,2,0,0,0,1,0,1,2,0,0,0,0
2017-04-02,5,5,1,0,0,0,1,7,3,0,0,0,0,0,7,0,4,0,0,0,0,0,2,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,18,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,1,0,1,2,0,0,0,0
2017-04-09,5,5,1,0,0,0,1,8,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,18,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,14,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,0,0
2017-04-16,5,5,1,0,0,0,1,7,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,17,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0,0,1,0,1,2,0,0,0,0
2017-04-23,5,5,1,0,0,0,1,7,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,17,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,7,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,1,0,1,2,0,0,0,0
2017-04-30,8,8,2,0,1,0,1,7,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,18,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,7,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0
2017-05-07,10,10,1,0,1,0,1,7,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0
2017-05-14,12,12,2,0,0,0,2,7,3,0,0,0,0,0,6,0,4,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4,0,1,0,0,0,0,0,0,0,18,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,10,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,0,0,0,1,0,1,2,0,0,0,0
2017-05-21,21,21,5,0,1,0,2,7,3,0,0,0,0,0,6,0,4,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4,0,1,0,0,0,0,0,0,0,18,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,2,0,0,0,2,0,1,2,0,0,0,0
2017-05-28,13,13,4,0,1,0,2,7,4,0,0,0,0,0,6,0,4,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,13,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,1,0,1,2,0,0,0,0
2017-06-04,13,13,5,0,1,0,1,7,3,0,0,0,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,4,0,1,0,0,0,0,0,0,0,17,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,13,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,0,0,0,1,0,1,2,0,0,0,0
