date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred,Vertcoin,Komodo,Einsteinium,Dogecoin,Siacoin,PIVX
2016-12-25,1,3,90,93,8,1,3,8,0,81,0,71,0,6,5,12,0,44,5,0,3,18,97,1,0,15,5,4,1,0
2017-01-01,1,3,89,85,12,3,3,7,0,82,0,75,0,10,5,12,0,47,0,4,3,25,100,5,1,16,3,7,1,0
2017-01-08,1,3,81,86,7,2,3,6,0,78,0,79,1,8,5,11,1,43,0,2,2,19,91,4,0,16,5,5,1,0
2017-01-15,1,3,84,87,6,1,3,7,0,76,0,79,0,9,4,10,1,40,4,1,1,20,95,2,0,16,7,5,1,1
2017-01-22,1,3,100,88,7,1,4,2,0,79,0,85,0,6,5,10,1,53,13,2,1,18,88,8,0,17,5,5,1,1
2017-01-29,1,3,85,83,7,1,4,3,0,77,0,82,0,9,5,6,0,73,4,3,3,19,96,16,0,17,5,6,0,1
2017-02-05,1,3,85,84,5,1,3,3,0,78,0,89,1,9,5,8,1,41,8,2,2,19,98,6,0,16,7,5,1,1
2017-02-12,1,3,83,86,5,1,3,2,1,76,0,87,1,7,4,7,1,43,8,4,1,19,98,13,0,17,5,4,0,2
2017-02-19,1,3,85,86,5,1,4,5,0,75,0,89,1,6,2,6,0,44,9,4,2,19,91,8,0,21,6,5,0,3
2017-02-26,1,4,96,85,6,4,4,6,0,76,0,91,1,9,7,8,1,40,4,1,3,18,91,8,0,18,4,7,1,2
2017-03-05,2,3,91,88,5,2,3,2,0,75,1,94,1,7,5,10,1,40,0,1,3,15,79,8,0,100,10,6,1,3
2017-03-12,2,4,88,83,9,2,5,10,0,72,1,95,4,5,7,11,1,44,0,4,2,26,78,20,0,19,7,5,0,8
2017-03-19,2,4,84,86,8,1,3,12,0,72,1,93,1,11,7,12,0,47,0,2,3,24,73,23,0,20,8,7,1,61
2017-03-26,1,4,82,85,6,1,4,8,0,70,1,91,1,12,6,9,1,62,9,0,6,15,73,71,1,17,7,6,2,32
2017-04-02,2,6,77,84,6,1,4,9,1,73,1,90,1,16,6,7,1,92,8,6,3,20,79,19,0,19,5,7,2,28
2017-04-09,1,4,77,85,6,2,3,4,0,70,2,90,1,18,4,10,3,50,13,5,5,19,78,20,5,19,6,7,3,60
2017-04-16,1,4,74,84,5,2,3,7,0,67,2,93,1,17,7,9,3,43,4,7,5,25,70,17,1,19,3,5,1,51
2017-04-23,1,5,75,85,6,2,4,21,1,67,1,100,1,9,5,14,0,46,17,4,3,23,72,29,1,18,4,8,1,40
2017-04-30,2,6,77,86,8,2,4,29,4,68,1,95,1,19,7,13,1,48,4,4,4,18,69,26,2,28,5,10,4,34
2017-05-07,1,9,72,87,8,1,4,9,11,66,1,96,1,13,7,15,1,50,9,6,12,36,65,20,2,20,6,14,4,39
2017-05-14,1,11,73,85,11,2,4,13,10,63,2,92,0,12,5,12,3,59,0,11,21,34,61,25,2,18,7,11,15,21
2017-05-21,1,12,74,88,18,4,4,72,8,64,3,93,2,22,12,35,3,69,9,10,31,31,60,24,1,19,9,30,35,42
2017-05-28,1,10,72,100,15,2,4,46,7,65,3,89,5,100,11,32,2,47,14,13,19,32,66,35,1,19,6,17,24,41
2017-06-04,2,9,69,92,15,4,5,36,6,64,4,91,3,100,24,35,4,43,4,64,19,60,66,51,3,18,7,20,50,23
2017-06-11,5,10,71,99,17,3,5,79,3,64,5,91,2,81,23,53,4,99,5,56,16,52,75,37,4,17,6,19,42,27
